slot,purpose,produces_contracts,consumes_contracts,config_flags_or_modes,key_prometheus_metrics,primary_interactions
"Slot01 Truth Anchor","Foundational truth anchoring & cryptographic verification service","anchor.compute; anchor.verify; anchor.recover","(none)","SLOT1_STORAGE_PATH; SLOT1_ENHANCED_MODE; NOVA_GM_ENABLED","nova_slot1_anchors_total; nova_slot1_lookups_total; nova_slot1_recoveries_total; nova_slot1_failures_total","Feeds slots 2/3/6/10 with nova.core anchors, exportable secrets and attestation data"
"Slot02 Î”THRESH","Advanced pattern/threat processing and META_LENS host","DETECTION_REPORT@1; DELTA_THREAT@1; META_LENS_REPORT@1","EMOTION_REPORT@1; optional anchor snapshots","ProcessingConfig.operational_mode; ProcessingConfig.processing_mode; META_LENS_MAX_ITERS/ALPHA/EPSILON","layer_latency_ms histogram; throughput counter; anchor_integrity gauge","Consumes Slot3 escalations, pushes detection outputs toward Slots4/6/7/9/10 and Meta-Lens pipelines"
"Slot03 Emotional Matrix","Emotional safety guardian with cross-slot escalation","EMOTION_REPORT@1; PRODUCTION_CONTROL@1","DELTA_THREAT@1","ThreatLevel routing map; escalation rate limits; semantic filter policies","threat_level_distribution; escalation_events_total; policy_violation_total","Routes critical traffic to Slots1/4/7 and feeds Slot6 via EMOTION_REPORT@1"
"Slot04 TRI","Truth Resonance Index scoring & flow-mesh nucleus","TRI_REPORT@1; tri.calculate; tri.gated_calculate","Flow inputs from adapters; adaptive link weights","NOVA_ENABLE_TRI_LINK flag; safe_mode thresholds; drift_z policy","tri_calculation_ms; tri_score_distribution; tri_link_enabled_counter","Serves Slots5/6 with TRI data and listens to Slot7 pressure/context for gating"
"Slot05 Constellation","Spatial navigation translating TRI into cultural coordinates","constellation.position; constellation.update_from_tri","TRI_REPORT@1","NOVA_ENABLE_TRI_LINK flag; path_guard rails; cache TTL","constellation_position_updates; tri_integration_latency_ms; stability_index_distribution","Bridges Slot4 TRI output into Slot6 cultural synthesis"
"Slot06 Cultural Synthesis","Cultural guardrail & adaptation engine with anomaly-aware unlearning","CULTURAL_PROFILE@1","TRI_REPORT@1; EMOTION_REPORT@1; Slot7 context mirrors","Anomaly pulse weights; Semantic Mirror receivers; synthesis risk thresholds","adaptation_effectiveness; principle_preservation; residual_risk; unlearn_decay_total","Consumes flow-mesh outputs (Slots4/5) plus Slot7 context and gates Slot10 deployments"
"Slot07 Production Controls","Circuit breaker, reflex and context-publishing control plane","Semantic Mirror contexts; reflex emissions","PRODUCTION_CONTROL@1; system health feeds","NOVA_REFLEX_ENABLED; breaker pressure thresholds; reflex_policy.yaml","slot7_breaker_state; slot7_pressure_level; reflex_emissions_total; flag_state_gauge","Publishes pressure/breaker state to all slots and enforces control inputs from Slot3"
"Slot08 Memory Protection","Legacy ACL guard (slot08_memory_ethics) with Processual 4.0 upgrade path (slot08_memory_lock)","Internal lock tokens; PROCESSUAL_CLASSIFICATION_REPORT","Semantic Mirror hooks; IDS feeds","ACL readers/writers; quarantine thresholds; entropy_drift alarms","ids_alerts_total; quarantine_duration_seconds; entropy_drift_gauge","Protects shared state for Slots6/9/10, offering upgrade path to autonomous self-healing memory lock"
"Slot09 Distortion Protection","Hybrid distortion detection with audit hash chains","distortion.detect; audit.add_hash_chain","api.common.hashutils.v1; IDS vector streams","NOVA_USE_SHARED_HASH; circuit_breaker policies; infrastructure_level weighting","audit_hash_method_counter; shared_hash_enabled_counter; hash_chain_generation_ms","Validates content for Slots6/10, consuming IDS traces and emitting signed audit records"
"Slot10 Civilizational Deployment","Progressive canary deployment with MetaLegitimacySeal gating","audit.emit","api.slot09.hybrid.v1; CULTURAL_PROFILE@1","NOVA_SLOT10_ENABLED; NOVA_USE_SHARED_HASH; canary stage thresholds","canary_stage_latency_seconds; mls_decisions_total; audit_emit_latency_ms","Consumes Slot6 cultural verdicts + Slot9 hashes to orchestrate civilizational releases and rollbacks"
